,width,iteration,label,alpha,parameters,model_loss,model_accuracy,model_auc,model_precision,model_recall,model_crossentropy,gumbel_model_loss,gumbel_model_accuracy,gumbel_model_auc,gumbel_model_precision,gumbel_model_recall,gumbel_crossentropy,units_kept,sum_of_sigmoids,gumbel_weighted_crossentropy
0,2,0,0,1e-07,1370,0.048075444996356964,0.9857142567634583,0.9993829131126404,0.9877175092697144,0.9846938848495483,0.048075444996356964,0.01769171841442585,0.994700014591217,0.9995085000991821,0.994700014591217,0.994700014591217,0.017349448055028915,3838,3422.669,"(0.18568816100264973, 0.00705659568744058)"
1,2,0,0,1e-06,1370,0.048075444996356964,0.9857142567634583,0.9993829131126404,0.9877175092697144,0.9846938848495483,0.048075444996356964,0.01990835927426815,0.9950000047683716,0.9995216131210327,0.9950000047683716,0.9950000047683716,0.016736287623643875,3573,3172.0715,"(0.3204018597101292, 0.005542368720722642)"
2,2,0,0,1e-05,1370,0.048075444996356964,0.9857142567634583,0.9993829131126404,0.9877175092697144,0.9846938848495483,0.048075444996356964,0.045820631086826324,0.9936000108718872,0.9995698928833008,0.9936000108718872,0.9936000108718872,0.0189460851252079,3005,2687.454,"(0.29649166602571536, 0.006998987056196871)"
3,2,0,0,0.0001,1370,0.048075444996356964,0.9857142567634583,0.9993829131126404,0.9877175092697144,0.9846938848495483,0.048075444996356964,0.09353311359882355,0.9912999868392944,0.9994295239448547,0.9912999868392944,0.9912999868392944,0.024405647069215775,653,691.2746,"(0.18900899660259252, 0.012686264726659183)"
4,2,0,0,0.001,1370,0.048075444996356964,0.9857142567634583,0.9993829131126404,0.9877175092697144,0.9846938848495483,0.048075444996356964,0.20463109016418457,0.9793999791145325,0.9984128475189209,0.9793999791145325,0.9793999791145325,0.05190369114279747,128,152.72739,"(0.7053113820966225, 0.02396834431874042)"
5,2,0,1,1e-07,1370,0.030544105917215347,0.9920704960823059,0.9995176196098328,0.9938162565231323,0.9911894202232361,0.030544105917215347,0.0131342438980937,0.9951000213623047,0.9997933506965637,0.9951000213623047,0.9951000213623047,0.012796142138540745,3892,3381.0015,"(0.16252167945055254, 0.0070511009544833615)"
6,2,0,1,1e-06,1370,0.030544105917215347,0.9920704960823059,0.9995176196098328,0.9938162565231323,0.9911894202232361,0.030544105917215347,0.015776893123984337,0.9962999820709229,0.9998043775558472,0.9962999820709229,0.9962999820709229,0.012626582756638527,3598,3150.3103,"(0.2838035001665646, 0.0042433803182360666)"
7,2,0,1,1e-05,1370,0.030544105917215347,0.9920704960823059,0.9995176196098328,0.9938162565231323,0.9911894202232361,0.030544105917215347,0.029202301055192947,0.9957000017166138,0.9995697140693665,0.9957000017166138,0.9957000017166138,0.014141510240733624,1479,1506.0786,"(0.05319237557646784, 0.009505079455589477)"
8,2,0,1,0.0001,1370,0.030544105917215347,0.9920704960823059,0.9995176196098328,0.9938162565231323,0.9911894202232361,0.030544105917215347,0.059783563017845154,0.9945999979972839,0.9997552633285522,0.9945999979972839,0.9945999979972839,0.01565295085310936,418,441.30615,"(0.09796318043607946, 0.010968500972040345)"
9,2,0,1,0.001,1370,0.030544105917215347,0.9920704960823059,0.9995176196098328,0.9938162565231323,0.9911894202232361,0.030544105917215347,0.13105528056621552,0.984000027179718,0.9985482692718506,0.984000027179718,0.984000027179718,0.046544693410396576,75,84.51059,"(0.36432109143252334, 0.03456167137789813)"
